
Song:
	samples = 2838528
	channels = 2
	totalsamples = 5677056
	samples per point = 3032
	meterScale = 200
	tolerance = 1
	quantize bpm = 243 thru 480

Points:1873

	idx       time                val                 startsample         endsample           delta               actualbpm           bpm                 
	--------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- 
	0                                  3.7            0                   3031                                                                            
	1              0.0                 0.0            3032                6063                                                                            
	2              0.1                 0.0            6064                9095                                                                            
	3              0.1                 0.3            9096                12127                                                                           
	4              0.1                 2.7            12128               15159                                                                           
	5              0.2                 2.2            15160               18191                                                                           
	6              0.2                 1.7            18192               21223                                                                           
	7              0.2                 1.7            21224               24255                                                                           
	8              0.3                 2.2            24256               27287                                                                           
	9              0.3                 3.0            27288               30319                                                                           
	10             0.3                 3.7            30320               33351                                                                           
	11             0.4                 2.8            33352               36383                                                                           
	12             0.4                 0.4            36384               39415                                                                           
	13             0.4                 1.5            39416               42447                                                                           
	14             0.5                 3.8            42448               45479                                                                           
	15             1.5                 31.0           45480               48511                                                                           
	16             1.6                 3.5            48512               51543                                                                           
	17             1.6                 1.3            51544               54575                                                                           
	18             1.6                 1.7            54576               57607                                                                           
	19             1.7                 2.2            57608               60639                                                                           
	20             1.7                 3.9            60640               63671                                                                           
	21             1.7                 3.9            63672               66703                                                                           
	22             1.8                 2.9            66704               69735                                                                           
	23             1.8                 0.1            69736               72767                                                                           
	24             1.8                 1.5            72768               75799                                                                           
	25             1.9                 3.7            75800               78831                                                                           
	26             1.9                 3.2            78832               81863                                                                           
	27             1.9                 3.5            81864               84895                                                                           
	28             11.0                1.2            84896               87927                                                                           
	29             11.0                0.4            87928               90959                                                                           
	30             1.0                 2.9            90960               93991                                                                           
	31             1.1                 31.0           93992               97023                                                                           
	32             1.1                 3.7            97024               100055                                                                          
	33             1.1                 21.0           100056              103087                                                                          
	34             1.2                 0.4            103088              106119                                                                          
	35             1.2                 1.4            106120              109151                                                                          
	36             1.2                 3.7            109152              112183                                                                          
	37             1.3                 3.9            112184              115215                                                                          
	38             1.3                 3.5            115216              118247                                                                          
	39             1.3                 2.6            118248              121279                                                                          
	40             1.4                 1.5            121280              124311                                                                          
	41             1.4                 2.2            124312              127343                                                                          
	42             1.4                 3.8            127344              130375                                                                          
	43             1.5                 3.2            130376              133407                                                                          
	44             2.5                 2.1            133408              136439                                                                          
	45             2.5                 0.1            136440              139471                                                                          
	46             2.6                 1.4            139472              142503                                                                          
	47             2.6                 2.4            142504              145535                                                                          
	48             2.7                 31.0           145536              148567                                                                          
	49             2.7                 2.4            148568              151599                                                                          
	50             2.7                 1.2            151600              154631                                                                          
	51             2.8                 0.2            154632              157663                                                                          
